Mach	Cd(alpha=0)
0.30	0.034743708
0.40	0.03585055
0.60	0.03156447
0.80	0.03377815
0.90	0.044637367
0.95	0.05873436
1.05	0.09559418
1.10	0.09301083
1.25	0.095642574
1.40	0.08809452
1.60	0.08359285
1.80	0.08190932
2.00	0.0784892
2.50	0.06560926
3.00	0.062262826
4.00	0.055135958
4.60	0.053113516
6.00	0.049116246
7.00	0.04285846
8.00	0.037680972
9.00	0.048756406

Mach	Cd(alpha=5)
0.30	0.05316113
0.40	0.058602445
0.60	0.056483213
0.80	0.0727814
0.90	0.08797509
0.95	0.102070525
1.05	0.14434746
1.105	0.14111124
1.25	0.13572925
1.40	0.11843116
1.60	0.11306088
1.80	0.10552608
2.00	0.09474024
2.50	0.079694085
3.00	0.067895845
4.00	0.057301246
4.60	0.05419772
6.00	0.04803282
7.00	0.045022964
8.00	0.036598332
9.00	0.043339286

Mach	Cd(alpha=10)
0.30	0.0791633
0.40	0.083520405
0.60	0.09331962
0.80	0.11936784
0.90	0.13564417
0.95	0.15299222
1.05	0.19093624
1.10	0.18986453
1.25	0.17689934
1.40	0.15851784
1.60	0.14556359
1.80	0.13586195
2.00	0.1250761
2.50	0.10677811
3.00	0.09931357
4.00	0.08221999
4.60	0.0791149
6.00	0.069702074
7.00	0.06344195
8.00	0.061516292
9.00	0.067174606

Mach	Cd(alpha=15)
0.30	0.19508885
0.40	0.19727989
0.60	0.2211636
0.80	0.25588155
0.90	0.26890606
0.95	0.29708755
1.05	0.3350308
1.10	0.32637668
1.25	0.30582833
1.40	0.2798605
1.60	0.25390673
1.80	0.23337086
2.00	0.21608292
2.50	0.18587038
3.00	0.16648817
4.00	0.13855802
4.60	0.13111924
6.00	0.121707186
7.00	0.1154455
8.00	0.11677012
9.00	0.11159419

Mach	Cd(alpha=20)
0.30	0.42477623
0.40	0.422632
0.60	0.43676412
0.80	0.44114622
0.90	0.45633835
0.95	0.4866859
1.05	0.5332965
1.10	0.5311437
1.25	0.5019272
1.40	0.46187568
1.60	0.42400423
1.80	0.38829964
2.00	0.36126402
2.50	0.3169623
3.00	0.26833
4.00	0.22956638
4.60	0.21887733
6.00	0.20837952
7.00	0.20320281
8.00	0.20561242
9.00	0.19501781

Mach	Cd(alpha=25)
0.30	NaN
0.40	NaN
0.60	NaN
0.80	NaN
0.90	NaN
0.95	NaN
1.05	NaN
1.10	NaN
1.25	NaN
1.40	NaN
1.60	NaN
1.80	NaN
2.00	NaN
2.50	NaN
3.00	0.40484136
4.00	0.36282906
4.60	0.3456379
6.00	0.33947456
7.00	0.33429864
8.00	0.3334564
9.00	0.31527784

Mach	Cd(alpha=30)
0.30	NaN
0.40	NaN
0.60	NaN
0.80	NaN
0.90	NaN
0.95	NaN
1.05	NaN
1.10	NaN
1.25	NaN
1.40	NaN
1.60	NaN
1.80	NaN
2.00	NaN
2.50	NaN
3.00	0.5901076
4.00	0.54159313
4.60	0.5211541
6.00	0.5128231
7.00	0.50439614
8.00	0.5024697
9.00	0.4821243

Mach	Cd(alpha=35)
0.30	NaN
0.40	NaN
0.60	NaN
0.80	NaN
0.90	NaN
0.95	NaN
1.05	NaN
1.10	NaN
1.25	NaN
1.40	NaN
1.60	NaN
1.80	NaN
2.00	NaN
2.50	NaN
3.00	0.8187084
4.00	0.77669454
4.60	0.74542123
6.00	0.7360068
7.00	0.7254146
8.00	0.72457
9.00	0.70422536
